up:P49951	bta:281080
up:P29520	bmor:693059
up:P21195	ocu:100328595
up:P18687	cge:100689473
up:P04040	hsa:847
up:P04040	hsa:847
up:P17343	cel:CELE_F13D12.7
up:O42587	xla:379941

up:Q5ZLL1	gga:378891

up:Q9WUA2	mmu:23874
up:Q99MN1	mmu:85305
up:O75439	hsa:9512
up:Q9EQH3	mmu:65114
up:P56558	rno:26295


up:P19891	cge:100760225
up:Q3UJK4	mmu:56055
up:Q5R5J1	pon:100173760
up:Q5R5J1	pon:100173760
up:Q5R5J1	pon:100173760

up:Q99JY0	mmu:231086
up:P00514	bta:615074
up:Q90474	dre:30591
up:O89000	rno:81656
up:Q5I597	bta:497025
up:Q5I597	bta:497025
up:P11611	ocu:100009300
up:Q00341	hsa:3069
up:P06733	hsa:2023
up:P06733	hsa:2023
up:Q99K70	mmu:54170
up:Q99K70	mmu:54170







up:Q7Z401	hsa:10260


up:Q9JLR1	mmu:57743


up:P68370	rno:64158
up:P68370	rno:64158


up:P68370	rno:64158

up:P68370	rno:64158
up:P60842	hsa:1973
up:P27659	mmu:27367
up:Q60HG7	mcf:102117863
up:Q60HG7	mcf:102117863
up:Q91YQ5	mmu:103963
up:Q91YQ5	mmu:103963
up:Q25189	hmg:100197367
up:Q2HJ86	bta:535605
up:Q90705	gga:396325
up:Q06725	dre:30418
up:Q06725	dre:30418
up:P11142	hsa:3312
up:Q9HD45	hsa:56889
up:P11940	hsa:26986
up:P11940	hsa:26986
up:Q9BZE4	hsa:23560
up:Q9BZE4	hsa:23560
up:P15105	mmu:14645

up:Q56A35	dre:554861
up:P23780	mmu:12091
up:P23780	mmu:12091
up:Q5R546	pon:100173854
up:C3YWU0	bfo:BRAFLDRAFT_56888
up:P50395	hsa:2665
up:Q29504	ocu:100009225
up:P27604	cel:CELE_K02F2.2
up:Q8BTH8	mmu:214897
up:Q6P8X1	mmu:72183
up:Q6P8X1	mmu:72183
up:Q5EAJ7	spu:575735
up:Q9Z1N5	mmu:53817
up:Q90593	gga:396487


up:O35604	mmu:18145
up:O35604	mmu:18145
up:O35604	mmu:18145
up:O35604	mmu:18145
up:O35604	mmu:18145
up:Q99PV0	mmu:192159

up:C3YWU0	bfo:BRAFLDRAFT_56888

up:Q3THS6	mmu:232087
up:P15178	rno:116483
up:Q68EW0	xla:447370
up:Q68EW0	xla:447370
up:Q68EW0	xla:447370
up:P29413	dme:Dmel_CG9429
up:Q4R502	mcf:101925784


up:P0CG68	ssc:396966
up:P0CG68	ssc:396966
up:P0CG68	ssc:396966
up:P0CG68	ssc:396966
up:P0CG53	bta:281370
up:P0CG53	bta:281370
up:P0CG53	bta:281370
up:P0CG53	bta:281370
up:Q9Y463	hsa:9149



up:Q05025	cjo:107318960
up:Q05025	cjo:107318960
up:O54734	mmu:13200
up:P11884	rno:29539

up:P00829	bta:327675
up:O57683	xla:399336
up:P28668	dme:Dmel_CG5394









up:A6QLI6	bta:534286
up:Q66HD0	rno:362862
up:Q66HD0	rno:362862
up:Q66HD0	rno:362862
up:Q66HD0	rno:362862
up:Q66HD0	rno:362862
up:Q66HD0	rno:362862
up:Q2KJI2	bta:507815

up:Q9DBU3	mmu:66878
up:Q7ZVY5	dre:322339




up:Q02253	rno:81708
up:Q7L523	hsa:10670
up:P80315	mmu:12464
up:Q16526	hsa:1407
up:Q16526	hsa:1407
up:Q9VHS8	dme:Dmel_CG7483

up:Q5BKM4	xtr:549294
up:P35520	hsa:102724560
up:P35520	hsa:875
up:P35520	hsa:102724560
up:P35520	hsa:875
