hsa:1973	ko:K03257
mmu:85305	ko:K04567
hsa:56889	ko:K17087
dre:30418	ko:K08547
dme:Dmel_CG7483	ko:K13025
bta:281080	ko:K04646
cge:100689473	ko:K04077
hsa:102724560	ko:K01697
ssc:396966	ko:K08770
mmu:27367	ko:K02925
cel:CELE_F13D12.7	ko:K04536
xla:447370	ko:K00164
hsa:9512	ko:K17732
bmor:693059	ko:K03231
mmu:231086	ko:K07509
mmu:53817	ko:K12812
mmu:54170	ko:K16186
bta:281370	ko:K04551
cel:CELE_K02F2.2	ko:K01251
mmu:65114	ko:K18468
mmu:214897	ko:K08958
mmu:12091	ko:K12309
ocu:100009300	ko:K04382
hsa:2665	ko:K17255
cge:100760225	ko:K01953
mmu:18145	ko:K12385
mmu:23874	ko:K01890
bta:615074	ko:K04739
gga:396487	ko:K09490
hmg:100197367	ko:K14753
ocu:100328595	ko:K09580
hsa:3312	ko:K03283
mmu:192159	ko:K12856
dme:Dmel_CG5394	ko:K14163
hsa:1407	ko:K02295
mcf:101925784	ko:K00031
bta:534286	ko:K00643

bta:327675	ko:K02133
rno:29539	ko:K00128
bta:497025	ko:K00544
mmu:72183	ko:K17920
hsa:9149	ko:K08825
ocu:100009225	ko:K03178
mmu:66878	ko:K08872
gga:378891	ko:K08960
xla:379941	ko:K03065
rno:64158	ko:K07374
bfo:BRAFLDRAFT_56888	ko:K01206
hsa:10670	ko:K16185
dre:554861	ko:K17260
bta:507815	ko:K07151
dre:30591	ko:K04079
cjo:107318960	ko:K00134
dme:Dmel_CG9429	ko:K08057
rno:81708	ko:K00140
dre:322339	ko:K01647
pon:100173760	ko:K01596
mmu:103963	ko:K12666
pon:100173854	ko:K02132
mmu:14645	ko:K01915
rno:116483	ko:K22503
hsa:875	ko:K01697
hsa:23560	ko:K06943
rno:81656	ko:K00207
xtr:549294	ko:K18466
mmu:232087	ko:K00789
mcf:102117863	ko:K01758
rno:26295	ko:K09667
gga:396325	ko:K03234
spu:575735	ko:K17266
mmu:57743	ko:K10956
bta:535605	ko:K07374

mmu:12464	ko:K09496
xla:399336	ko:K12828
hsa:2023	ko:K01689
hsa:10260	ko:K20163
mmu:13200	ko:K12670
hsa:847	ko:K03781
hsa:26986	ko:K13126
rno:362862	ko:K09487
